hw_id,pos_id,x,y,ip,mavlink_port,debug_port,gcs_ip
1,1,-5.0,2.5,100.96.240.11,14551,13541,10.66.114.210
2,1,-5.0,-2.5,100.96.28.52,14552,13542,100.96.32.75
3,3,0.0,2.5,100.96.14.176,14553,13543,100.96.32.75
4,2,0.0,-2.5,100.96.26.38,14554,13544,100.96.32.75
