Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,5,0,0,255,255,255
250,5,0,0.0679,255,255,255
500,5,0.0001,0.1951,255,255,255
750,5,0.0002,0.3749,255,255,255
1000,5,0.0003,0.6006,255,255,255
1250,5,0.0005,0.8656,255,255,255
1500,5,0.0006,1.1632,255,255,255
1750,5,0.0008,1.4866,255,255,255
2000,5,0.001,1.8291,255,255,255
2250,5,0.0011,2.1842,255,255,255
2500,5,0.0013,2.545,255,255,255
2750,5,0.0014,2.9049,255,255,255
3000,5,0.0014,3.2573,255,255,255
3250,5,0.0015,3.5953,255,255,255
3500,5,0.0015,3.9124,255,255,255
3750,5,0.0014,4.2019,255,255,255
4000,5,0.0013,4.457,255,255,255
4250,5,0.0011,4.671,255,255,255
4500,5,0.0008,4.8373,255,255,255
4750,5,0.0005,4.9492,255,255,255
5000,5,0,5,255,255,255
5250,5,-0.0024,5.0153,255,255,255
5500,5,-0.0088,5.0258,255,255,255
5750,5,-0.019,5.032,255,255,255
6000,5,-0.0332,5.0345,255,255,255
6250,5,-0.0513,5.0341,255,255,255
6500,5,-0.0735,5.0313,255,255,255
6750,5,-0.0995,5.0268,255,255,255
7000,5,-0.1297,5.0213,255,255,255
7250,5,-0.1638,5.0153,255,255,255
7500,5,-0.202,5.0096,255,255,255
7750,5,-0.2442,5.0047,255,255,255
8000,5,-0.2906,5.0013,255,255,255
8250,5,-0.341,5,255,255,255
8500,5,-0.3953,5,255,255,255
8750,5,-0.4532,5,255,255,255
9000,5,-0.5145,5,255,255,255
9250,5,-0.5793,5,255,255,255
9500,5,-0.6474,5,255,255,255
9750,5,-0.7187,5,255,255,255
10000,5,-0.7931,5,255,255,255
10250,5,-0.8706,5,255,255,255
10500,5,-0.9512,5,255,255,255
10750,5,-1.0346,5,255,255,255
11000,5,-1.1208,5,255,255,255
11250,5,-1.2098,5,255,255,255
11500,5,-1.3015,5,255,255,255
11750,5,-1.3957,5,255,255,255
12000,5,-1.4924,5,255,255,255
12250,5,-1.5916,5,255,255,255
12500,5,-1.693,5,255,255,255
12750,5,-1.7968,5,255,255,255
13000,5,-1.9027,5,255,255,255
13250,5,-2.0106,5,255,255,255
13500,5,-2.1206,5,255,255,255
13750,5,-2.2325,5,255,255,255
14000,5,-2.3463,5,255,255,255
14250,5,-2.4618,5,255,255,255
14500,5,-2.579,5,255,255,255
14750,5,-2.6978,5,255,255,255
15000,5,-2.818,5,255,255,255
15250,5.0001,-2.9397,5,255,255,255
15500,5.0001,-3.0627,5,255,255,255
15750,5.0002,-3.1869,5,255,255,255
16000,5.0002,-3.3123,5,255,255,255
16250,5.0003,-3.4387,5,255,255,255
16500,5.0004,-3.5661,5,255,255,255
16750,5.0005,-3.6945,5,255,255,255
17000,5.0006,-3.8236,5,255,255,255
17250,5.0007,-3.9535,5,255,255,255
17500,5.0008,-4.084,5,255,255,255
17750,5.0009,-4.2152,5,255,255,255
18000,5.0011,-4.3468,5,255,255,255
18250,5.0012,-4.4788,5,255,255,255
18500,5.0013,-4.6111,5,255,255,255
18750,5.0015,-4.7437,5,255,255,255
19000,5.0016,-4.8764,5,255,255,255
19250,5.0018,-5.0092,5,255,255,255
19500,5.002,-5.142,5,255,255,255
19750,5.0021,-5.2747,5,255,255,255
20000,5.0023,-5.4073,5,255,255,255
20250,5.0024,-5.5395,5,255,255,255
20500,5.0026,-5.6715,5,255,255,255
20750,5.0028,-5.803,5,255,255,255
21000,5.0029,-5.934,5,255,255,255
21250,5.0031,-6.0644,5,255,255,255
21500,5.0033,-6.1941,5,255,255,255
21750,5.0034,-6.3231,5,255,255,255
22000,5.0036,-6.4512,5,255,255,255
22250,5.0038,-6.5784,5,255,255,255
22500,5.0039,-6.7046,5,255,255,255
